Species,Fos,Ter,Aqu,Arb,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diu,Noc,Crepu,Wet_warm,Wet_cold,Dry_warm,Dry_cold,Body_mass_g,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Size_at_maturity_min_mm,Size_at_maturity_max_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Dir,Lar,Viv,OBS
Allophryne_ruthveni,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,31,NA,NA,31,NA,NA,NA,300,300,1,NA,NA,0,1,0,NA
Alytes_muletensis,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,2.31,3,3,40,NA,NA,NA,7,20,1,5.4,7,0,1,0,NA
Discoglossus_montalentii,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,1000,1000,1,1.5,1.5,0,1,0,NA
Discoglossus_pictus,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,22.05,4,4,80,NA,NA,NA,20,1500,1,1,1.5,0,1,0,NA
Discoglossus_sardus,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,3,3,70,NA,NA,NA,1000,1000,1,1,1.5,0,1,0,NA
Allobates_brunneus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,17,17,1,NA,NA,0,1,0,NA
Allobates_chalcopis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Allobates_femoralis,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,4.1,0.8,0.8,36,NA,NA,6,8,48,12,1.5,2.1,0,1,0,NA
Allobates_marchesianus,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,13,27,1,1.5,2,0,1,0,NA
Allobates_olfersioides,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,11,11,3,1.5,1.5,0,1,0,NA
Allobates_talamancae,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,25,NA,NA,NA,18,50,1,NA,NA,0,1,0,NA
Anomaloglossus_baeobatrachus,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Mannophryne_olmonae,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,28,NA,NA,12,NA,NA,NA,12,12,1,NA,NA,0,1,0,NA
Mannophryne_trinitatis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,29,NA,NA,NA,10,11,1,NA,NA,0,1,0,NA
Arthroleptis_adelphus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_bioko,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_poecilonotus,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2.69,0.3,0.4,33.4,20,20,0.3,10,30,2,2.9,2.9,1,0,0,NA
Arthroleptis_stenodactylus,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,30,80,1,2,2,1,0,0,NA
Arthroleptis_sylvaticus,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_taeniatus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_tuberosus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
Arthroleptis_variabilis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_xenodactyloides,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,23.8,NA,NA,0.5,13,30,1,4,4,1,0,0,NA
Astylosternus_batesi,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Astylosternus_diadematus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Astylosternus_occidentalis,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,65.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Cardioglossa_elegans,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Cardioglossa_gracilis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Cardioglossa_gratiosa,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Cardioglossa_leucomystax,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Cardioglossa_nigromaculata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Cardioglossa_occidentalis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,34.8,NA,NA,NA,33,33,NA,2.8,2.8,NA,NA,NA,NA
Nyctibates_corrugatus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Scotobleps_gabonicus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Trichobatrachus_robustus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_argenteus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_aubryi,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,58,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_aubryioides,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptopelis_boulengeri,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_brevipes,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Leptopelis_brevirostris,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Leptopelis_calcaratus,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_flavomaculatus,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,250,250,1,3,4,0,1,0,NA
Leptopelis_macrotis,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_millsoni,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_modestus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_mossambicus,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_notatus,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_occidentalis,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_ocellatus,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_palmatus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_rufus,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,87,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Leptopelis_spiritusnoctis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,52,NA,NA,NA,50,50,1,4,4,0,1,0,NA
Leptopelis_viridis,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,50,NA,NA,NA,187,187,1,2.5,2.5,0,1,0,NA
Barbourula_busuangensis,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3,NA,NA,NA,78,78,1,5.9,5.9,NA,NA,NA,NA
Barbourula_kalimantanensis,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Bombina_bombina,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,5.9,1,4,50,NA,NA,20,80,300,1,1.2,1.8,0,1,0,NA
Bombina_orientalis,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,13.1,NA,NA,47,NA,NA,20,38,257,1,1.5,2.4,0,1,0,NA
Bombina_variegata,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,6.77,1.5,3,50,NA,NA,29,45,170,1,2,2,0,1,0,NA
Brachycephalus_didactylus,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,15,NA,NA,10.7,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Brachycephalus_ephippium,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,15,NA,NA,19.7,NA,NA,NA,5,5,1,5.1,5.3,1,0,0,NA
Brachycephalus_hermogenesi,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,15,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Ischnocnema_bolbodactyla,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Ischnocnema_guentheri,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1.1,NA,NA,40,NA,NA,NA,20,40,1,2.7,2.7,1,0,0,NA
Ischnocnema_henselii,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Ischnocnema_lactea,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Ischnocnema_manezinho,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Ischnocnema_nasuta,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Ischnocnema_nigriventris,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
Ischnocnema_octavioi,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1.3,NA,NA,24.3,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Ischnocnema_parva,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,19,NA,NA,25.5,NA,NA,NA,8,30,1,3.7,4.3,1,0,0,NA
Pristimantis_paulodutrai,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Pristimantis_ramagii,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,10,10,1,NA,NA,1,0,0,NA
Pristimantis_vinhai,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Breviceps_adspersus,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,46,46,1,4.5,4.5,1,0,0,NA
Breviceps_mossambicus,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,20,30,1,4,6,1,0,0,NA
Sclerophrys_pentoni,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,29.8,2,2,95,NA,NA,6,2600,2600,1,2,2,0,1,0,NA
Sclerophrys_tihamica,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Adenomus_kandianus,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Adenomus_kelaartii,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,1000,1000,1,NA,NA,0,1,0,NA
Sclerophrys_buchneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Sclerophrys_camerunensis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Sclerophrys_maculata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Sclerophrys_funerea,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Sclerophrys_gracilipes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Sclerophrys_gutturalis,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,38.7,NA,NA,120,NA,NA,NA,15000,25000,1,1.5,1.5,0,1,0,NA
Sclerophrys_kassasii,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Sclerophrys_latifrons,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Sclerophrys_regularis,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,104,NA,NA,130,NA,NA,NA,9000,13000,1,1.5,1.5,0,1,0,NA
Sclerophrys_superciliaris,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,4500,4500,1,1.95,1.95,0,1,0,NA
Sclerophrys_togoensis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Sclerophrys_tuberosa,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Sclerophrys_xeros,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,1,1,1,0,1,0,NA
Anaxyrus_americanus,NA,1,NA,NA,NA,NA,NA,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,118.7,2,4,111,40,50,36,2000,20000,1,1,2,0,1,0,NA
Anaxyrus_boreas,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,4,6,125,56,125,11.5,5213,16500,1,1.7,1.75,0,1,0,NA
Anaxyrus_cognatus,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,25,2,5,114,47,50,10,1342,45054,1,1.1,1.2,0,1,0,NA
Anaxyrus_debilis,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,54,52,52,12.4,2000,2000,1,1,1,0,1,0,NA
Anaxyrus_fowleri,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,34.9,1,2,95,42,82,5,1998,10000,1,3,4,0,1,0,NA
Anaxyrus_kelloggi,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,48.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Anaxyrus_punctatus,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,60,2,2,76,47,47,11.3,30,5000,1,1.2,4,0,1,0,NA
Anaxyrus_quercicus,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2.3,2.3,33,30,30,4,6000,6000,1,1,1,0,1,0,NA
Anaxyrus_speciosus,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,91,91,4.4,20,20,1,1.4,1.4,0,1,0,NA
Anaxyrus_terrestris,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,33.25,NA,NA,116.3,NA,NA,10,4000,4000,1,1.2,1.4,0,1,0,NA
Anaxyrus_woodhousii,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,16.4,2,2,127,NA,NA,8,10500,28500,1,1.3,1.3,0,1,0,NA
Ansonia_albomaculata,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_echinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ansonia_fuliginea,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_glandulosa,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Ansonia_guibei,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_hanitschi,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,1,1.8,2.5,0,1,0,NA
Ansonia_kraensis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Ansonia_latidisca,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_leptopus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_longidigita,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_malayana,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,300,300,1,NA,NA,0,1,0,NA
Ansonia_mcgregori,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_minuta,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_muelleri,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_penangensis,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_platysoma,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_spinulifer,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_tiomanica,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Ansonia_torrentis,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Atelopus_spumarius,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,NA,NA,NA,80,80,1,2,2,0,1,0,NA
Bufo_bankorensis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,110,NA,NA,NA,3725,3725,1,1.5,1.5,0,1,0,NA
Bufo_bufo,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,164.75,2,5,150,NA,NA,40,5332,10000,1,1.8,2.2,0,1,0,NA
Bufo_gargarizans,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,116.2,2,3,134,NA,NA,9,5000,7400,1,2,2.4,0,1,0,NA
Bufo_japonicus,NA,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,415,1,4,176,NA,NA,8,14000,14000,1,NA,NA,0,1,0,NA
Bufo_stejnegeri,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,2,2,62,NA,NA,6,830,830,1,NA,NA,0,1,0,NA
Bufo_torrenticola,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,4000,4000,1,2.7,2.7,0,1,0,NA
Dendrophryniscus_brevipollicatus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,9,65,1,0.9,2.3,0,1,0,NA
Dendrophryniscus_leucomystax,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Amazophrynella_minuta,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,22,420,1,0.5,1,0,1,0,NA
